month,building,room,total,1,2,3,4,5,6,7,8,9plus
2026-02,가부키초,202호,11,0,0,6,5,0,0,0,0,0
2026-02,가부키초,203호,8,0,0,1,7,0,0,0,0,0
2026-02,가부키초,302호,9,1,0,4,4,0,0,0,0,0
2026-02,가부키초,303호,8,0,0,2,6,0,0,0,0,0
2026-02,가부키초,402호,7,0,0,4,3,0,0,0,0,0
2026-02,가부키초,403호,6,0,1,2,3,0,0,0,0,0
2026-02,가부키초,502호,7,0,1,6,0,0,0,0,0,0
2026-02,가부키초,603호,7,0,1,6,0,0,0,0,0,0
2026-02,가부키초,802호,6,0,1,5,0,0,0,0,0,0
2026-02,가부키초,803호,14,0,1,12,1,0,0,0,0,0
2026-02,다카다노바바,201호,9,0,1,0,1,3,3,1,0,0
2026-02,다카다노바바,301호,5,0,1,0,1,0,3,0,0,0
2026-02,다카다노바바,401호,6,0,0,0,2,3,1,0,0,0
2026-02,다카다노바바,501호,6,0,2,2,1,0,1,0,0,0
2026-02,다카다노바바,601호,8,0,0,0,1,4,1,2,0,0
2026-02,다카다노바바,701호,7,0,1,0,0,3,1,2,0,0
2026-02,다카다노바바,801호,7,0,0,0,1,2,3,1,0,0
2026-02,다카다노바바,901호,7,0,1,1,1,1,2,1,0,0
